List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],39354-45-5,"Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxo-3-sulfopropyl)-.omega.-(dodecyloxy)-, disodium salt","Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxo-3-sulfopropyl)-.omega.-(dodecyloxy)-, sodium salt (1:2)",,
Green [Circle],53563-70-5,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(octyloxy)-","Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(octyloxy)-",,
Green [Circle],26183-52-8,"Poly(oxy-1,2-ethanediyl), .alpha.-decyl-.omega.-hydroxy-","Poly(oxy-1,2-ethanediyl), .alpha.-decyl-.omega.-hydroxy-",,
Green [Circle],67762-19-0,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C10-16-alkyl ethers, ammonium salts","Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C10-16-alkyl ethers, ammonium salts",,
Green [Circle],68037-05-8,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C6-10-alkyl ethers, ammonium salts","Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C6-10-alkyl ethers, ammonium salts",,
Half Green [Circle],26468-86-0,"Poly(oxy-1,2-ethanediyl), alpha-(2-ethylhexyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), .alpha.-(2-ethylhexyl)-.omega.-hydroxy-",,
Green [Circle],160875-66-1,"Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-",,
Green [Circle],68954-91-6,"Poly(oxy-1,2-ethanediyl), alpha-(3-carboxy-1-oxosulfopropyl)-omega-hydroxy-, C10-12-alkyl ethers, disodium salts","Poly(oxy-1,2-ethanediyl), alpha-(3-carboxy-1-oxosulfopropyl)-omega-hydroxy-, C10-12-alkyl ethers, disodium salts",,
Green [Circle],70750-17-3,"Poly(oxy-1,2-ethanediyl), alpha-(carboxymethyl)-omega-hydroxy-, C12-13-alkyl ethers","Poly(oxy-1,2-ethanediyl), alpha-(carboxymethyl)-omega-hydroxy-, C12-13-alkyl ethers",,
Green [Circle],220622-96-8,"Poly(oxy-1,2-ethanediyl), alpha-(carboxymethyl)-omega-hydroxy-,C12-14-alkyl ethers","Poly(oxy-1,2-ethanediyl), alpha-(carboxymethyl)-omega-hydroxy-, C12-14-alkyl ethers",,
Green [Circle],109075-72-1,"Poly(oxy-1,2-ethanediyl), alpha-butyl-omega-(octyloxy)-","Poly(oxy-1,2-ethanediyl), alpha-butyl-omega-(octyloxy)-",,
Green [Circle],501019-91-6,"Poly(oxy-1,2-ethanediyl), alpha-hydro-omega-hydroxy-, mono-C8-10-alkyl ethers, ethers with 1,2-dodecanediol (1:1)","Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C8-10-alkyl ethers, ethers with 1,2-dodecanediol (1:1)",,
Green [Circle],69011-36-5,"Poly(oxy-1,2-ethanediyl), alpha-tridecyl-omega-hydroxy-, branched","Poly(oxy-1,2-ethanediyl), alpha-tridecyl-omega-hydroxy-, branched",,
Green [Circle],127036-24-2,"Poly(oxy-1,2-ethanediyl), alpha-undecyl-omega-hydroxy-, branched and linear","Poly(oxy-1,2-ethanediyl), alpha-undecyl-omega-hydroxy-, branched and linear",,
Green [Circle],9005-08-7,Polyethylene glycol distearate,"Poly(oxy-1,2-ethanediyl), alpha-(1-oxooctadecyl)-omega-[(1-oxooctadecyl)oxy]-",,
Green [Circle],24938-91-8,Polyethylene glycol mono(tridecyl) ether,"Poly(oxy-1,2-ethanediyl), alpha-tridecyl-omega-hydroxy-",,
Green [Circle],68585-34-2,Polyethylene glycol mono-C10-16-alkyl ether sulfate sodium salt,"Poly(oxy-1,2-ethanediyl), alpha-sulfo-omega-hydroxy-, C10-16-alkyl ethers, sodium salts",,
Green [Circle],68891-38-3,Polyethylene glycol mono-C12-14-alkyl ether sulfate sodium salt,"Poly(oxy-1,2-ethanediyl), alpha-sulfo-omega-hydroxy-, C12-14-alkyl ethers, sodium salts",,
Green [Circle],9004-95-9,Polyethylene glycol monocetyl ether,"Poly(oxy-1,2-ethanediyl), .alpha.-hexadecyl-.omega.-hydroxy-",,
Green [Circle],9043-30-5,Polyethylene glycol monoisotridecyl ether,"Poly(oxy-1,2-ethanediyl), .alpha.-isotridecyl-.omega.-hydroxy-",,
Green [Circle],9004-98-2,Polyethylene glycol monoleyl ether,"Poly(oxy-1,2-ethanediyl), alpha-(9Z)-9-octadecen-1-yl-omega-hydroxy-",,
Green [Circle],9004-99-3,Polyethylene glycol stearate,"Poly(oxy-1,2-ethanediyl), alpha-(1-oxooctadecyl)-omega-hydroxy-",,
Half Green [Circle],9005-07-6,Polyoxyethylene dioleate,"Poly(oxy-1,2-ethanediyl), alpha-[(9Z)-1-oxo-9-octadecen-1-yl]-omega-[[(9Z)-1-oxo-9-octadecen-1-yl]oxy]-",,
Green [Circle],9004-96-0,Polyoxyethylene monoleate,"Poly(oxy-1,2-ethanediyl), alpha-[(9Z)-1-oxo-9-octadecen-1-yl]-omega-hydroxy-",,
Green [Circle],9005-00-9,Polyoxyethylene monooctadecyl ether,"Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-",,
Green [Circle],34398-01-1,Polyoxyethylene monoundecyl ether,"Poly(oxy-1,2-ethanediyl), alpha-undecyl-omega-hydroxy-",,
Green [Circle],9005-70-3,Polyoxyethylene sorbitan trioleate,"Sorbitan, tri-(9Z)-9-octadecenoate, poly(oxy-1,2-ethanediyl) derivs.",,
Green [Circle],9005-65-6,Polysorbate 80,"Sorbitan, mono-(9Z)-9-octadecenoate, poly(oxy-1,2-ethanediyl) derivs.",,
Green [Circle],68127-33-3,Potassium acrylinoleate,"2-Cyclohexene-1-octanoic acid, 5(or 6)-carboxy-4-hexyl-, potassium salt (1:?)",,
Green [Circle],226993-76-6,Potassium babassuate,,,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],301341-58-2,Potassium cocoyl glycinate,,,"*As of July 2021, this substance is not listed on the TSCA inventory."
Green [Circle],27177-77-1,Potassium dodecylbenzene sulfonate,"Benzenesulfonic acid, dodecyl-, potassium salt (1:1)",,
Half Green [Circle],17378-36-8,Potassium heptadecanoate,"Heptadecanoic acid, potassium salt",,
Green [Circle],3414-89-9,Potassium linoleate,"9,12-Octadecadienoic acid (9Z,12Z)-, potassium salt (1:1)",,
Green [Circle],13429-27-1,Potassium myristate,Potassium myristate,,
Green [Circle],143-18-0,Potassium oleate,"9-Octadecenoic acid (9Z)-, potassium salt (1:1)",,
Green [Circle],2624-31-9,Potassium palmitate,Potassium palmitate,,
Green [Circle],593-29-3,Potassium palmitoleate,Potassium palmitoleate,,
Green [Circle],16106-44-8,Potassium toluenesulfonate,"Benzenesulfonic acid, 4-methyl-, potassium salt (1:1)",,
Green [Circle],30346-73-7,Potassium xylene sulfonate,"Benzenesulfonic acid, dimethyl-, potassium salt (1:1)",,
Green [Circle],910661-93-7,"Propanoic acid, 2-hydroxy-, 2-(C10-16-alkyloxy)-1-methyl-2-oxoethyl ester","Propanoic acid, 2-hydroxy-, 2-(C10-16-alkyloxy)-1-methyl-2-oxoethyl ester",,
Green [Circle],68877-55-4,"Propanoic acid, 3-[2-(2-heptyl-4,5-dihydro-1H-imidazol-1-yl)ethoxy]-, sodium salt","Propanoic acid, 3-[2-(2-heptyl-4,5-dihydro-1H-imidazol-1-yl)ethoxy]-, sodium salt (1:1)",,
Green [Circle],73138-81-5,"Quaternary ammonium compounds, bis(hydroxyethyl)methyltallow alkyl, ethoxylated, methyl sulfates (salts)","Quaternary ammonium compounds, bis(hydroxyethyl)methyltallow alkyl, ethoxylated, Me sulfates (salts)",,
Green [Circle],61791-10-4,"Quaternary ammonium compounds, coco alkylbis(hydroxyethyl)methyl, ethoxylated, chlorides","Quaternary ammonium compounds, coco alkylbis(hydroxyethyl)methyl, ethoxylated, chlorides",,
Green [Circle],37134-61-5,Rhamnopyranosyl-3-hydroxydecanoyl-3-hydroxydecanoate,"Decanoic acid, 3-[(6-deoxy-.alpha.-L-mannopyranosyl)oxy]-, 1-(carboxymethyl)octyl ester",,
Green [Circle],6610-24-8,Sodium (Z)-hexadec-9-enoate,"9-Hexadecenoic acid, sodium salt (1:1), (9Z)-",,"*As of January 2018, this substance is not listed on the TSCA inventory."
Green [Circle],4016-24-4,Sodium 1-methoxy-1-oxohexadecane-2-sulphonate,"Hexadecanoic acid, 2-sulfo-, 1-methyl ester, sodium salt (1:1)",,
Green [Circle],5324-84-5,Sodium 1-octanesulfonate,"1-Octanesulfonic acid, sodium salt (1:1)",,
Green [Circle],1984-06-1,Sodium caprylate,Sodium caprylate,,
Green [Circle],68187-32-6,Sodium cocoyl glutamate,"L-Glutamic acid, N-coco acyl derivs., monosodium salts",,
Green [Circle],28348-53-0,Sodium cumene sulfonate,"Benzenesulfonic acid, (1-methylethyl)-, sodium salt (1:1)",,
Half Green [Circle],742087-48-5,Sodium decylglucosides hydroxypropylsulfonate,"D-Glucopyranose, oligomeric, decyl octyl glycosides, 2-hydroxy-3-sulfopropyl ethers, sodium salts",,
Green [Circle],9004-82-4,Sodium dodecylpoly(oxyethylene) sulfate,"Poly(oxy-1,2-ethanediyl), alpha-sulfo-omega-(dodecyloxy)-, sodium salt (1:1)",,
Green [Circle],126-92-1,Sodium ethasulfate,"Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)",,
Green [Circle],1120-01-0,Sodium hexadecyl sulfate,"1-Hexadecanol, 1-(hydrogen sulfate), sodium salt (1:1)",,
Half Green [Circle],14960-06-6,Sodium laurimino dipropionate,"beta-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",,
Green [Circle],29923-31-7,Sodium lauroyl glutamate,"L-Glutamic acid, N-(1-oxododecyl)-, sodium salt (1:1)",,
Green [Circle],13557-75-0,Sodium lauroyl lactylate,"Dodecanoic acid, 2-(1-carboxyethoxy)-1-methyl-2-oxoethyl ester, sodium salt (1:1)",,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],25155-30-0,Sodium lauryl benzene sulfonate,"Benzenesulfonic acid, dodecyl-, sodium salt (1:1)",,
Green [Circle],151-21-3,Sodium lauryl sulfate,Sulfuric acid monododecyl ester sodium salt (1:1),,
Green [Circle],1847-58-1,Sodium lauryl sulfoacetate,"Acetic acid, 2-sulfo-, dodecyl ester, sodium salt (1:1)",,
Green [Circle],13150-00-0,Sodium lauryl trioxyethylene sulfate,"Ethanol, 2-[2-[2-(dodecyloxy)ethoxy]ethoxy]-, 1-(hydrogen sulfate), sodium salt (1:1)",,
Green [Circle],822-17-3,Sodium linoleate,Sodium linoleate,,
Green [Circle],61791-42-2,Sodium methyl cocoyl taurate,"Ethanesulfonic acid, 2-(methylamino)-, N-coco acyl derivs., sodium salts",,
Green [Circle],822-12-8,Sodium myristate,"Tetradecanoic acid, sodium salt (1:1)",,
Green [Circle],30364-51-3,Sodium myristol sarcosinate,"Glycine, N-methyl-N-(1-oxotetradecyl)-, sodium salt (1:1)",,
Half Green [Circle],1191-50-0,Sodium myristyl sulfate,"1-Tetradecanol, 1-(hydrogen sulfate), sodium salt (1:1)",,
Green [Circle],137-20-2,Sodium N-methyl-N-oleoyltaurate,"Ethanesulfonic acid, 2-[methyl[(9Z)-1-oxo-9-octadecen-1-yl]amino]-, sodium salt (1:1)",,
Green [Circle],142-31-4,Sodium octyl sulfate,"Sulfuric acid, monooctyl ester, sodium salt (1:1)",,
Green [Circle],408-35-5,Sodium palmitate,Sodium palmitate,,
Green [Circle],25446-78-0,Sodium polyoxyethylene tridecyl sulfate,"Ethanol, 2-[2-[2-(tridecyloxy)ethoxy]ethoxy]-, 1-(hydrogen sulfate), sodium salt (1:1)",,
Green [Circle],822-16-2,Sodium stearate,"Octadecanoic acid, sodium salt (1:1)",,
Green [Circle],1120-04-3,Sodium stearyl sulfate,"Sulfuric acid, monooctadecyl ester, sodium salt (1:1)",,
Green [Circle],12068-03-0,Sodium toluenesulfonate,"Benzenesulfonic acid, methyl-, sodium salt (1:1)",,
Green [Circle],26248-24-8,Sodium tridecylbenzene sulfonate,"Benzenesulfonic acid, tridecyl-, sodium salt (1:1)",,
